73.139,-0.38457,2.1605
75.613,-0.89443,2.2951
75.774,-0.35559,0.92943
74.446,0.0054321,0.18621
70.504,0.18114,-0.67963
65.57,0.085834,-1.5567
62.142,-0.20884,-1.1771
59.029,-5.8269,1.5954
67.998,-1.0959,2.7963
73.22,-0.60686,2.6782
77.739,-1.4485,4.0231
77.984,-1.4479,4.0204
78.115,-0.55965,2.6338
77.795,-0.56007,2.6361
77.65,-0.54419,2.592
77.76,-0.38043,2.1332
78.172,-0.38007,2.1309
77.764,-0.3464,2.6222
73.635,1.965,5.4797
68.896,4.5522,10.009
63.843,6.5811,15.019
56.269,8.2066,18.832
47.854,8.1795,16.745
36.725,7.545,15.745
42.089,10.268,19.253
45.937,10.961,20.49
36.421,9.5567,18.205
24.428,6.8791,12.917
16.217,0.81916,6.2268
10.758,-0.70168,2.2156
7.8839,-1.3454,0.72596
9.4899,-1.296,0.5893
19.142,-2.0742,2.5658
54.18,-1.4993,2.5205
66.568,-1.2158,2.4484
74.313,-0.57579,2.0425
80.809,-0.39007,1.0364
82.252,-0.096947,0.2642
82.915,-0.075665,0.20614
83.466,-0.11347,0.30929
83.629,-0.36181,0.98958
84.384,-0.36115,0.98771
84.62,-0.36094,0.98713
84.862,-0.36073,0.98654
84.492,0,0
80.535,-0.017742,1.0741
76.815,-0.018346,1.1304
72.599,1.5528,0.99194
68.617,3.0546,0.749
64.429,3.3159,0.71783
60.762,3.7182,0.60298
54.688,5.0598,-0.42081
49.611,4.6217,-1.6547
77.749,-1.1568,3.4816
52.65,5.2871,-2.6533
31.693,9.2139,17.691
18.338,4.367,9.6519
29.575,6.3596,13.089
82.599,-0.10324,0.61903
10.432,-1.6033,1.7117
81.3,-0.36391,0.99546
56.415,4.3606,-0.96531
81.9,-0.36336,0.99393
82.882,-0.36248,0.99145
60.474,7.1536,18.144
12.1,1.0285,4.1018
66.358,2.9531,1.4949
71.233,-0.17567,1.5989
71.647,-0.023141,0.41015
77.958,-0.52451,2.5358
77.624,-0.4984,2.6024
33.959,7.9616,15.939
83.275,-0.36213,0.99046
84.006,-0.36148,0.98864
84.336,-0.36119,0.98783
84.714,-0.36086,0.9869
84.7,-0.19449,0.5307
77.697,0.57487,1.7239
73.921,-0.27,1.6689
67.078,-1.166,-0.69769
58.555,-11.94,3.1137
64.779,-15.539,11.789
67.134,-12.771,13.759
78.584,-0.43374,2.2644
77.917,-0.54612,2.5965
77.428,-0.34745,2.257
28.945,9.0391,16.471
8.3026,-0.67741,1.2917
90.729,-9.8223,0.15146
71.627,3.4075,8.6168
63.002,-0.82009,2.5066
79.665,0.00011848,1.2405
35.327,7.2586,12.923
78.121,-0.50175,2.4319
41.429,10.087,18.757
70.272,1.9083,2.0913
78.242,-2.1624,4.4777
22.231,6.1151,12.596
82.314,-1.2472,2.3626
82.92,-1.2453,2.3589
73.785,1.0632,2.0961
43.271,8.3197,14.923
12.22,-1.79,1.9808
80.339,-0.018345,1.1199
56.221,-16.617,21.657
54.63,8.5987,17.653
14.091,2.6163,6.4729
10.094,-0.7571,1.5712
40.982,-2.1083,3.0452
58.871,4.178,-0.38792
53.174,3.2489,-3.6575
68.711,0.1746,0.0019036
91.981,-7.6558,5.7268
72.892,-9.0779,11.058
81.335,-0.36388,0.99537
78.952,-1.2029,2.6747
75.338,1.7612,5.6468
66.944,4.9531,13.76
84.383,-0.36115,0.98771
63.438,-13.698,6.5517
78.487,-0.32732,2.1649
80.976,-0.36421,0.99629
82.997,-0.36238,0.99116
64.506,3.1987,0.7203
93.118,-13.501,12.187
84.945,-13.382,6.566
46.423,-14.636,18.649
83.847,-0.36162,0.98904
84.101,-0.3614,0.98841
84.575,-0.36098,0.98724
44.75,-15.941,18.246
62.082,-14.102,15.506
31.01,9.4283,17.049
64.294,-1.9373,1.3269
65.709,-11.888,14.614
77.712,-0.5243,2.4596
28.991,5.9886,11.995
82.06,-1.2479,2.3641
78.322,-0.4364,2.4781
70.569,-0.32353,2.2585
57.003,4.4372,-3.587
37.711,10.462,17.817
77.175,0.82849,1.9796
19.072,5.5706,10.69
82.648,-0.13959,0.70835
67.145,0.58723,-0.96201
91.99,-9.3527,14.051
33.344,-14.345,17.237
48.803,-13.039,15.859
26.479,8.9291,14.492
52.41,4.9033,-6.3517
49.028,-14.997,18.422
77.561,-0.54727,2.5661
80.758,-1.1418,2.3063
38.922,-14.43,20.513
69.132,2.4941,2.0069
91.538,-14.255,22.11
27.653,-14.342,11.813
10.882,-1.6659,1.9937
24.004,-2.2273,3.1735
82.702,-1.246,2.3602
44.176,-11.703,8.9241
78.376,-2.2239,3.4969
8.5584,-1.8503,1.8129
54.269,-1.7439,2.9332
81.084,-1.251,2.3701
81.407,-1.25,2.3681
84.634,-0.36093,0.9871
71.449,-9.4693,11.327
83.811,-0.36165,0.98913
84.208,-0.3613,0.98814
84.618,-0.36094,0.98713
61.035,0.19045,-1.6032
57.476,-1.5024,1.4556
84.225,-15.059,21.078
70.947,-14.495,11.044
73.773,1.2411,2.122
39.667,-14.646,15.56
35.833,-12.862,17.485
83.116,-0.36227,0.99086
28.759,8.9003,15.848
15.773,4.3532,8.218
81.921,-1.2484,2.365
59.18,4.978,-0.66548
53.444,-14.161,20.515
61.401,-12.321,16.472
50.404,7.2687,17.389
36.726,9.6522,17.107
64.033,5.6608,15.333
30.888,6.0292,12.557
23.639,7.5205,13.192
10.424,-0.71683,3.7075
80.489,-0.018345,1.1194
56.395,5.1249,-4.5291
74.205,-14.736,20.313
80.086,-1.0178,2.3069
63.567,4.1364,0.2539
74.874,-2.9799,3.0534
74.047,0.28167,6.8124
42.979,-11.574,11.485
33.929,-12.042,16.78
